question,answer,category,difficulty
99 + 5,104,Addition,Medium
51 + 35,86,Addition,Medium
45 + 4,49,Addition,Medium
43 + 20,63,Addition,Medium
31 + 92,123,Addition,Medium
80 + 90,170,Addition,Medium
66 + 91,157,Addition,Medium
38 + 42,80,Addition,Medium
51 + 44,95,Addition,Medium
87 + 46,133,Addition,Medium
31 + 15,46,Addition,Medium
87 + 53,140,Addition,Medium
57 + 35,92,Addition,Medium
64 + 90,154,Addition,Medium
17 + 94,111,Addition,Medium
92 + 18,110,Addition,Medium
9 + 45,54,Addition,Medium
51 + 75,126,Addition,Medium
70 + 71,141,Addition,Medium
60 + 35,95,Addition,Medium
12 + 33,45,Addition,Medium
4 + 59,63,Addition,Medium
43 + 45,88,Addition,Medium
53 + 55,108,Addition,Medium
34 + 94,128,Addition,Medium
68 + 15,83,Addition,Medium
86 + 66,152,Addition,Medium
36 + 53,89,Addition,Medium
52 + 48,100,Addition,Medium
53 + 27,80,Addition,Medium
62 + 62,124,Addition,Medium
75 + 4,79,Addition,Medium
97 + 65,162,Addition,Medium
43 + 73,116,Addition,Medium
72 + 3,75,Addition,Medium
85 + 32,117,Addition,Medium
50 + 90,140,Addition,Medium
47 + 71,118,Addition,Medium
87 + 96,183,Addition,Medium
96 + 25,121,Addition,Medium
92 + 79,171,Addition,Medium
30 + 60,90,Addition,Medium
95 + 23,118,Addition,Medium
94 + 97,191,Addition,Medium
98 + 42,140,Addition,Medium
17 + 84,101,Addition,Medium
74 + 67,141,Addition,Medium
23 + 40,63,Addition,Medium
83 + 34,117,Addition,Medium
64 + 67,131,Addition,Medium
24 + 3,27,Addition,Medium
32 + 92,124,Addition,Medium
74 + 48,122,Addition,Medium
1 + 59,60,Addition,Medium
50 + 99,149,Addition,Medium
75 + 19,94,Addition,Medium
12 + 48,60,Addition,Medium
91 + 39,130,Addition,Medium
38 + 82,120,Addition,Medium
44 + 32,76,Addition,Medium
61 + 66,127,Addition,Medium
29 + 65,94,Addition,Medium
51 + 5,56,Addition,Medium
59 + 25,84,Addition,Medium
74 + 59,133,Addition,Medium
29 + 37,66,Addition,Medium
65 + 94,159,Addition,Medium
64 + 93,157,Addition,Medium
98 + 52,150,Addition,Medium
74 + 52,126,Addition,Medium
17 + 53,70,Addition,Medium
53 + 99,152,Addition,Medium
24 + 24,48,Addition,Medium
68 + 67,135,Addition,Medium
6 + 97,103,Addition,Medium
50 + 17,67,Addition,Medium
77 + 28,105,Addition,Medium
9 + 34,43,Addition,Medium
64 + 18,82,Addition,Medium
70 + 41,111,Addition,Medium
97 + 7,104,Addition,Medium
34 + 50,84,Addition,Medium
61 + 15,76,Addition,Medium
64 + 86,150,Addition,Medium
96 + 65,161,Addition,Medium
60 + 79,139,Addition,Medium
85 + 3,88,Addition,Medium
28 + 22,50,Addition,Medium
79 + 92,171,Addition,Medium
14 + 63,77,Addition,Medium
53 + 29,82,Addition,Medium
74 + 22,96,Addition,Medium
89 + 63,152,Addition,Medium
7 + 99,106,Addition,Medium
51 + 22,73,Addition,Medium
58 + 19,77,Addition,Medium
30 + 86,116,Addition,Medium
3 + 18,21,Addition,Medium
93 + 17,110,Addition,Medium
94 + 56,150,Addition,Medium
73 - 20,53,Subtraction,Medium
16 - 7,9,Subtraction,Medium
74 - 21,53,Subtraction,Medium
80 - 33,47,Subtraction,Medium
73 - 17,56,Subtraction,Medium
28 - 23,5,Subtraction,Medium
25 - 20,5,Subtraction,Medium
41 - 14,27,Subtraction,Medium
75 - 3,72,Subtraction,Medium
81 - 3,78,Subtraction,Medium
29 - 14,15,Subtraction,Medium
55 - 22,33,Subtraction,Medium
90 - 34,56,Subtraction,Medium
43 - 28,15,Subtraction,Medium
71 - 18,53,Subtraction,Medium
97 - 63,34,Subtraction,Medium
81 - 26,55,Subtraction,Medium
56 - 16,40,Subtraction,Medium
