```
question,answer,category,time,difficulty
"17.25: Write chemical equations for the acid ionizations of each of the following weak acids (express these in terms of H₃O⁺). a. HOCN (cyanic acid) b. HF (hydrofluoric acid) c. HIO (hypoiodous acid) d. HCO₂H (formic acid)","a. HOCN + H₂O ⇌ H₃O⁺ + OCN⁻ b. HF + H₂O ⇌ H₃O⁺ + F⁻ c. HIO + H₂O ⇌ H₃O⁺ + IO⁻ d. HCO₂H + H₂O ⇌ H₃O⁺ + HCO₂⁻","Chemistry (Acids and Bases)",90,"Easy"
"17.26: Write chemical equations for the acid ionizations of each of the following weak acids (express these in terms of H₃O⁺). a. HNO₂ (nitrous acid) b. HOCClH₂ (monochloroacetic acid) c. HCN (hydrocyanic acid) d. HCO₂H (formic acid)","a. HNO₂ + H₂O ⇌ H₃O⁺ + NO₂⁻ b. HOCClH₂ + H₂O ⇌ H₃O⁺ + OCClH₂⁻ c. HCN + H₂O ⇌ H₃O⁺ + CN⁻ d. HCO₂H + H₂O ⇌ H₃O⁺ + HCO₂⁻","Chemistry (Acids and Bases)",90,"Easy"
"17.30: Formic acid, HCHO₂, is used to make methyl formate (an artificial rum flavor). What is the pH of a 0.12 M solution of formic acid? What is the degree of ionization of HCHO₂ in this solution? See Table 17.1 for Kₐ.","pH = 2.26, Degree of ionization = 0.045 (4.5%)","Chemistry (Acids and Bases)",120,"Medium"
"17.31: C₆H₄NH₂COOH, para-aminobenzoic acid (PABA), is used in some sunscreen agents. Calculate the concentrations of hydronium ion and para-aminobenzoate ion, C₆H₄NH₂COO⁻, in a 0.050 M solution of the acid. The value of Kₐ is 2.2 × 10⁻⁵.","[H₃O⁺] = 1.05 × 10⁻³ M, [C₆H₄NH₂COO⁻] = 1.05 × 10⁻³ M","Chemistry (Acids and Bases)",120,"Medium"
"17.32: Barbituric acid, HC₄H₃N₂O₃, is used to prepare various barbiturate drugs (used as sedatives). Calculate the concentrations of hydronium ion and barbiturate ion in a 0.20 M solution of the acid. The value of Kₐ is 9.8 × 10⁻⁵.","[H₃O⁺] = 4.42 × 10⁻³ M, [C₄H₃N₂O₃⁻] = 4.42 × 10⁻³ M","Chemistry (Acids and Bases)",120,"Medium"
"17.27: Acrylic acid, whose formula is HC₃H₃O₂ or CH₂=CHCOOH, is used in the manufacture of plastics. A 0.10 M aqueous solution of acrylic acid has a pH of 2.63. What is Kₐ for acrylic acid?","Kₐ = 2.3 × 10⁻⁵","Chemistry (Acids and Bases)",90,"Medium"
"17.28: Heavy metal azides, which are salts of hydrazoic acid, HN₃, are used as explosive detonators. A solution of 0.20 M hydrazoic acid has a pH of 3.21. What is the Kₐ for hydrazoic acid?","Kₐ = 1.9 × 10⁻⁵","Chemistry (Acids and Bases)",90,"Medium"
"17.29: Boric acid, B(OH)₃, is used as a mild antiseptic. What is the pH of a 0.025 M aqueous solution of boric acid?","pH = 5.12","Chemistry (Acids and Bases)",120,"Medium"
"17.37: What is the hydronium-ion concentration of a 2.00 M solution of 2,6-dinitrobenzoic acid, (NO₂)₂C₆H₃COOH, for which Kₐ = 7.94 × 10⁻²?","[H₃O⁺] = 1.26 M","Chemistry (Acids and Bases)",120,"Medium"
"17.38: What is the hydronium-ion concentration of a 2.00 × 10⁻⁴ M solution of p-bromobenzoic acid, BrC₆H₄COOH, for which Kₐ = 1.00 × 10⁻⁴?","[H₃O⁺] = 6.32 × 10⁻⁵ M","Chemistry (Acids and Bases)",120,"Medium"
"17.39: Phthalic acid, H₂C₈H₄O₄, is a diprotic acid used in the synthesis of phenolphthalein indicator. Kₐ₁ = 1.2 × 10⁻³ and Kₐ₂ = 3.9 × 10⁻⁶. (a) Calculate the hydronium-ion concentration of a 0.015 M solution. (b) What is the concentration of the C₈H₄O₄²⁻ ion in the solution?","(a) [H₃O⁺] = 4.23 × 10⁻² M (b) [C₈H₄O₄²⁻] = 3.9 × 10⁻⁶ M","Chemistry (Acids and Bases)",180,"Hard"
"17.40: Carbonic acid, H₂CO₃, can be found in a wide variety of body fluids (from dissolved CO₂). (a) Calculate the hydronium-ion concentration of a 5.45 × 10⁻⁴ M H₂CO₃ solution. (b) What is the concentration of CO₃²⁻?","(a) [H₃O⁺] = 1.65 × 10⁻³ M (b) [CO₃²⁻] = 5.1 × 10⁻¹¹ M","Chemistry (Acids and Bases)",180,"Hard"
"17.41: Write the chemical equation for the base ionization of methylamine, CH₃NH₂. Write the K₆ expression for methylamine.","CH₃NH₂ + H₂O ⇌ CH₃NH₃⁺ + OH⁻; K₆ = [CH₃NH₃⁺][OH⁻]/[CH₃NH₂]","Chemistry (Acids and Bases)",90,"Easy"
"17.42: Write the chemical equation for the base ionization of aniline, C₆H₅NH₂. Write the K₆ expression for aniline.","C₆H₅NH₂ + H₂O ⇌ C₆H₅NH₃⁺ + OH⁻; K₆ = [C₆H₅NH₃⁺][OH⁻]/[C₆H₅NH₂]","Chemistry (Acids and Bases)",90,"Easy"
"17.43: Ethanolamine, HOC₂H₄NH₂, is a viscous liquid with an ammonialike odor; it is used to remove hydrogen sulfide from natural gas. A 0.15 M aqueous solution of ethanolamine has a pH of 11.34. What is K₆ for ethanolamine?","K₆ = 2.1 × 10⁻³","Chemistry (Acids and Bases)",120,"Medium"
"17.44: Trimethylamine, (CH₃)₃N, is a gas with a fishy, ammonialike odor. An aqueous solution that is 0.25 M trimethylamine has a pH of 11.63. What is K₆ for trimethylamine?","K₆ = 6.3 × 10⁻⁵","Chemistry (Acids and Bases)",120,"Medium"
"17.45: What is the concentration of hydroxide ion in a 0.065 M aqueous solution of methylamine, CH₃NH₂? What is the pH?","[OH⁻] = 1.14 × 10⁻² M, pH = 12.06","Chemistry (Acids and Bases)",120,"Medium"
"17.33: A solution of acetic acid, HC₂H₃O₂, on a laboratory shelf was of undetermined concentration. If the pH of the solution was found to be 2.68, what was the concentration of the acetic acid?","[HC₂H₃O₂] = 0.021 M","Chemistry (Acids and Bases)",120,"Medium"
"17.34: A chemist wanted to determine the concentration of a solution of lactic acid, HC₃H₅O₃. She found that the pH of the solution was 2.51. What was the concentration of the solution? The Kₐ of lactic acid is 1.4 × 10⁻⁴.","[HC₃H₅O₃] = 0.031 M","Chemistry (Acids and Bases)",120,"Medium"
"17.35: Hydrofluoric acid, HF, unlike hydrochloric acid, is a weak electrolyte. What is the hydronium-ion concentration and the pH of a 0.040 M aqueous solution of HF?","[H₃O⁺] = 1.27 × 10⁻² M, pH = 1.90","Chemistry (Acids and Bases)",120,"Medium"
"17.36: Chloroacetic acid, HC₂H₂ClO₂, has a greater acid strength than acetic acid, because the electronegative chlorine atom pulls electrons away from the O—H bond and thus weakens it. Calculate the hydronium-ion concentration and the pH of a 0.015 M solution of chloroacetic acid. Kₐ is 1.3 × 10⁻³.","[H₃O⁺] = 4.42 × 10⁻² M, pH = 1.35","Chemistry (Acids and Bases)",120,"Medium"
