question,correct_answer,options,category,time,difficulty
"Following a severe boating accident, Zoe continues experiencing vivid flashbacks and becomes startled by loud noises. What disorder best describes these symptoms?","Posttraumatic stress disorder","Bipolar disorder;Agoraphobia;Panic disorder;Posttraumatic stress disorder","Psychological Disorders",60,Medium
"Which research methodology would researchers most likely employ when investigating the biological, psychological, and social factors of bipolar disorder by intensively studying the personal histories and treatment outcomes of a small group of individuals who first developed symptoms after age 65?","Case study","Experimental research;Case study;Naturalistic observation;Survey","Research Methods",75,Medium
"Professor Jackson believes students experience excessive stress due to overscheduling. He conducts a study where students eliminate one stressful activity for two weeks, measuring stress levels before and after this intervention. What most limits the generalizability of his findings?","Professor Jackson lacked a control group","Professor Jackson failed to clearly define his target population;Professor Jackson used a convenience sample;Professor Jackson lacked a valid hypothesis;Professor Jackson lacked a control group","Research Methods",90,Hard
"Dr. Rivera plans to investigate the efficacy of a new medication for anxiety disorders. What ethical requirement must she fulfill before beginning her study?","Obtain informed consent from participants","Obtain informed consent from participants;Set up clinical facilities for participants;Publish preliminary research on the medication's effects;Debrief participants about the study's purpose","Research Ethics",60,Easy
"Researchers studying physical activity's impact on stress and wellbeing collected weekly exercise data from participants: 7, 8, 11, 3, 8, 2, 1, 0, 10, 5. What is the mean value of this dataset?","5.5","7.0;5.5;5.3;3.2","Statistics",60,Medium
"Why do psychologists find conducting experiments with individuals diagnosed with personality disorders particularly challenging?","Individuals with personality disorders resist random assignment to experimental conditions","Individuals with personality disorders resist random assignment to experimental conditions;Experimental psychologists prefer not to work with socially challenging individuals;Individuals with psychological disorders cannot be randomly assigned to groups;Individuals with personality disorders struggle with following experimental instructions","Research Methods",75,Medium
"During pregnancy, Sofia was exposed to influenza. According to current research, which psychological disorder is her child most likely to develop?","Schizophrenia, as influenza exposure correlates with increased schizophrenia risk","Depression, as prenatal influenza exposure correlates with increased depression risk;Specific phobia, as prenatal influenza exposure correlates with increased phobia risk;Anorexia nervosa, as influenza creates significant fetal stress;Schizophrenia, as influenza exposure correlates with increased schizophrenia risk","Biopsychosocial Model",75,Hard
"Dr. Parker attempts to induce phobias in preschoolers by suddenly playing loud thunder recordings in their classroom and observing which children appear frightened. Which ethical requirement did Dr. Parker fail to obtain?","Informed consent","Informed consent;Double-blind procedure;Random sampling;Control for confounding variables","Research Ethics",60,Medium
"A restaurant chain assessed job candidates using a character strengths inventory and hired only those scoring high on wisdom, regardless of experience. Why might this application of the character strengths assessment lack validity?","The character strengths assessment wasn't designed to identify effective servers","The restaurant should first study whether wisdom predicts server performance;The character strengths assessment wasn't designed to identify effective servers;The assessment wasn't administered under standardized conditions;The restaurant should have used candidates' lowest scores rather than highest scores","Psychological Assessment",75,Medium
"In studying environmental influences on childhood anxiety, Nathan exposes children to chaotic environments with frightening stimuli after obtaining guardian permission. He measures their physiological responses afterward. Which ethical procedure did Nathan omit?","Debriefing","Debriefing;Control for placebo effect;Random sampling;Informed consent","Research Ethics",60,Medium
"Researchers developed an assessment measuring character strengths using self-reporting. The 100-item questionnaire asks respondents to rate statements from 'very much like me' to 'very unlike me' on a five-point scale. What measurement approach is this?","Likert-scale items","Structured interviews;Multiple-choice questionnaire;Likert-scale items;Observational methods","Psychological Assessment",60,Easy
"Mental health professionals must consider various factors before diagnosing psychological disorders. Which example demonstrates a cultural factor?","Leila shows symptoms of severe depression in a community where seeking mental health services is stigmatized","Five years ago, Emma was diagnosed with schizophrenia. Her identical twin, Anna, now shows similar symptoms;Marco was exposed to environmental toxins as a child and now exhibits learning difficulties;Leila shows symptoms of severe depression in a community where seeking mental health services is stigmatized;Olivia struggles with anorexia nervosa while her identical twin brother shows no symptoms","Biopsychosocial Model",75,Medium
"Researchers studying stress-management therapy's effects on medicated schizophrenia patients randomly assigned half to receive therapy while half continued medication alone. After six weeks, the therapy group showed improvement in negative symptoms. What specific ethical consideration applies?","Offering stress-management therapy to the control group after the study","Ensuring participant anonymity;Conducting comprehensive debriefing sessions;Offering stress-management therapy to the control group after the study;Providing additional compensation to control group participants","Research Ethics",75,Hard
"Dr. Torres conducts experimental research on antipsychotic medication effectiveness. What would most likely serve as her dependent variable?","Hallucination frequency, as this is what she measures","Medication type, as this is what she manipulates;Hallucination frequency, as this is what she measures;Self-reported depression, as this is what she manipulates;Neurotransmitter levels, as this is what she measures","Research Methods",60,Medium
"Elena grew up in a family that taught her challenges are inevitable but positive attitude toward stress is beneficial. When starting university, she experienced adjustment difficulties. Why would Elena likely classify her experience as eustress rather than distress?","Elena's family taught her cultural norms that shaped her stress expectations","Elena's genetic predisposition leads her to interpret stress positively;Elena's family taught her cultural norms that shaped her stress expectations;Elena's developmental stage naturally produces positive attitudes toward stress;Elena is experiencing delusional thinking about stress","Stress & Coping",75,Medium
