question,answer,category,time,difficulty
"**Textbook Ownership:** How many textbooks, on average, do college freshmen own? A statistics class surveyed an SRS of 25 freshmen at their university and recorded the number of textbooks each student reported owning. Here are the data: 12 8 5 15 10 7 18 22 6 9 11 14 4 16 20 7 9 13 10 5 8 12 19 21 3. a. Calculate and interpret the sample mean. b. Calculate the sample standard deviation to estimate the variability.","a. The sample mean is 11.48 textbooks. This is the average number of textbooks owned by the freshmen in the sample. (Sum all values and divide by 25). b. The sample standard deviation is approximately 5.58 textbooks. (Calculated using the sample standard deviation formula).","Statistics (Descriptive Statistics)",780,"Easy"
"**School Play Attendance:** Maria wants to estimate the proportion of students at her high school (600 students) who plan to attend the upcoming school play. She surveys an SRS of 40 students and finds that 28 plan to attend. Calculate the sample proportion.","The sample proportion is 28/40 = 0.7, or 70%.","Statistics (Sampling Distributions)",180,"Easy"
"**Academic Honesty:** A researcher is interested in the proportion of students who have ever cheated on an exam. They ask an SRS of 150 university students, 'Have you ever cheated on an exam?' Only 35 students answered 'Yes.' Calculate the sample proportion.","The sample proportion is 35/150 = 0.233, or 23.3%.","Statistics (Sampling Distributions)",180,"Easy"
"**Coffee Preference:** A survey asked a random sample of 400 US adults, 'Do you prefer coffee or tea in the morning?' Based on this poll, the 95% confidence interval for the population proportion who prefer coffee is (0.55, 0.65). a. Interpret the confidence interval. b. What is the point estimate that was used to create the interval? What is the margin of error? c. Based on this poll, a coffee company claims that more than 60% of U.S. adults prefer coffee. Use the confidence interval to evaluate this claim.","a. We are 95% confident that the interval from 0.55 to 0.65 captures the true proportion of all US adults who prefer coffee in the morning. b. The point estimate is (0.55 + 0.65) / 2 = 0.60. The margin of error is (0.65 - 0.55) / 2 = 0.05. c. The claim that *more than* 60% prefer coffee is not fully supported, as the interval includes values below 0.60. While plausible, it's not definitively proven by this interval.","Statistics (Confidence Intervals)",900,"Medium"
"**Exercise Habits:** A Gallup poll asked a random sample of US adults, 'Do you exercise regularly for at least 30 minutes, three or more times per week?' Based on this poll, the 95% confidence interval for the population proportion who exercise regularly is (0.48, 0.54). a. Interpret the confidence interval. b. What is the point estimate that was used to create the interval? What is the margin of error? c. Based on this poll, Gallup claims that a minority of U.S. adults exercise regularly. Use the confidence interval to evaluate this claim.","a. We are 95% confident that the interval from 0.48 to 0.54 captures the true proportion of all US adults who exercise regularly. b. The point estimate is (0.48 + 0.54) / 2 = 0.51. The margin of error is (0.54 - 0.48) / 2 = 0.03. c. The interval is centered just *above* 0.50, and a good portion of it is *below* 0.50, so a claim of it being only a minority is plausible.","Statistics (Confidence Intervals)",900,"Medium"
"**Pizza Delivery:** A pizza chain advertises that their average delivery time is 30 minutes. A customer advocacy group selects a random sample of 12 deliveries and finds a 95% confidence interval for the true mean delivery time to be 28.5 minutes to 31.5 minutes. a. Does the confidence interval provide convincing evidence that the true mean delivery time is different than 30 minutes? Explain your answer. b. Does the confidence interval provide convincing evidence that the true mean delivery time is 30 minutes? Explain your answer.","a. No, the interval contains 30 minutes, so there is not convincing evidence the true mean *differs* from 30 minutes. b. Yes, because 30 minutes is within the interval, the data are consistent with the advertised delivery time.","Statistics (Confidence Intervals)",600,"Medium"
"**Cereal Box Weight:** A cereal company claims each box of their cereal contains 16 ounces. A quality control inspector selects a random sample of 30 boxes and calculates a 95% confidence interval for the true mean weight to be 15.8 ounces to 16.1 ounces. a. Does the confidence interval provide convincing evidence that the true mean weight is different than 16 ounces? Explain your answer. b. Does the confidence interval provide convincing evidence that the true mean weight is 16 ounces? Explain your answer.","a. No, the interval contains 16 ounces, so it does *not* provide convincing evidence the true mean differs from 16 ounces. b. Yes, because 16 ounces is within the interval, the data are consistent with the company's claim.","Statistics (Confidence Intervals)",600,"Medium"
"**Study Time:** A statistics class surveyed random samples of male and female students to compare study habits. A 95% confidence interval for μF - μM = the true difference in the mean number of hours spent studying per week (Females - Males) is 1.2 to 3.8 hours. a. Interpret the confidence interval. b. Does the confidence interval give convincing evidence of a difference in the true mean study time for male and female students? Explain your answer.","a. We are 95% confident that the interval from 1.2 to 3.8 hours captures the true difference in mean study time per week (Females - Males). b. Yes, the interval does *not* contain 0, providing convincing evidence of a difference. Females, on average, study more.","Statistics (Confidence Intervals)",600,"Medium"
"**Social Media Use:** A researcher compares social media usage between younger adults (ages 18-25) and older adults (ages 26-35). Of 200 younger adults surveyed, 160 reported using social media daily. Of 250 older adults surveyed, 175 reported using social media daily. A 95% confidence interval for pY - pO = the true difference in the proportions of younger and older adults who use social media daily is 0.03 to 0.17. a. Interpret the confidence interval. b. Does the confidence interval give convincing evidence of a difference in the true proportions of younger and older adults who use social media daily? Explain your answer.","a. We are 95% confident that the interval from 0.03 to 0.17 captures the true difference in the proportions of younger and older adults who use social media daily (Younger - Older). b. Yes, the interval does *not* contain 0, providing convincing evidence of a difference. Younger adults have a higher proportion of daily users.","Statistics (Confidence Intervals)",600,"Medium"
"**Coffee Preference (Level):** Refer to the Coffee Preference question (question 4). Interpret the confidence level.","The 95% confidence level means that if we were to take many random samples of US adults and calculate a 95% confidence interval for each, about 95% of these intervals would capture the true proportion of US adults who prefer coffee in the morning.","Statistics (Confidence Intervals)",300,"Easy"
